No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
269,2.90200860957757,95.3298890360078,94.6241548873533,209.422967740396
270,2.70138706351661,47.743292361477,45.3357577990931,108.70855639655
271,2.96404249210229,308.018801558536,383.374145658995,669.540670833446
272,2.5474289154718,313.357734757202,392.521202775161,734.739046037084
273,2.97152558149108,290.155765743462,353.59992324749,629.921334003495
274,3.55395992682646,322.390284283753,408.266597980764,639.984743063931
275,3.43000467056607,339.772427942584,439.5600852593,686.568055168482
276,2.55344801846078,298.594118684005,367.508523246202,699.296526501076
277,3.30388289448574,102.575859537793,102.523800871678,211.19207456
278,3.19838311290448,93.1354098008407,92.2531663148653,194.891455522242
279,2.53670665464406,49.188268115242,46.7694244270368,115.576688430641
280,2.88121924689697,296.642113699947,364.266529614072,654.017798880751
281,2.50266338871451,280.461667801698,337.956415180817,663.461371763319
282,2.64143293499281,403.211057122912,566.203506542369,928.448038992081
283,2.71090404279219,341.942445808896,443.561865357336,777.212982691929
284,2.86181127497299,340.320720490414,440.56916799332,752.858241022559
285,2.69302168079131,314.994430561042,395.348860866787,718.333564875615
286,2.07860209876489,166.368168720519,177.116181770137,431.846128130496
287,3.54278291583505,105.846018878829,106.125026564461,210.449498728514
288,4.01051358906566,39.6078140364607,37.3338716064553,74.015851442612
289,2.95666146328114,289.207230105206,352.053626317266,629.437523826774
290,3.0547517820721,273.037900800681,326.211589556722,584.625963975666
291,2.54949490139102,315.323734240147,395.919133639035,739.048633989431
292,2.76608464105761,292.608955499749,357.615046456627,658.416241163796
293,2.80018948485359,320.174601519467,404.372358325483,716.041480629502
294,3.6943977719549,238.591949773977,274.23172465827,464.544981284085
295,2.26249693580661,127.488271939645,130.541485452468,317.190471533845
296,3.17507766244738,100.722645734148,100.492977024036,211.541093644001
297,2.50792233680207,43.6592611591071,41.3040214024634,103.172523504189
298,2.96896914609026,281.482574566488,339.587332099944,611.352879946629
299,3.20698628696001,324.642663981519,412.246880515975,678.423907730346
300,2.8982062496103,254.97621172983,298.454619289526,560.504351596357
301,2.84897966897113,301.561399873451,372.465464100133,668.615860613222
302,2.84142149939836,323.583916250027,410.373202541133,718.395157987496
303,3.00423608778201,275.771910716613,330.513630001859,595.424803101397
304,2.70316787649041,182.223626439429,197.188744978084,414.774542953627
